language,section,type,ipa,example,filename
English (British RP),Consonants,word,,robert,english-word-robert.mp3
English (British RP),Consonants,phoneme,j,yankee,english-phoneme-j.mp3
English (British RP),Consonants,word,,yankee,english-word-yankee.mp3
English (General American),Monophthongs,phoneme,i,heat,american_english-phoneme-i.mp3
English (General American),Monophthongs,word,,heat,american_english-word-heat.mp3
English (General American),Monophthongs,phoneme,ɪ,hit,american_english-phoneme-ih.mp3
English (General American),Monophthongs,word,,hit,american_english-word-hit.mp3
English (General American),Monophthongs,phoneme,ʊ,put,american_english-phoneme-uh.mp3
English (General American),Monophthongs,word,,put,american_english-word-put.mp3
English (General American),Monophthongs,phoneme,u,pool,american_english-phoneme-u.mp3
English (General American),Monophthongs,word,,pool,american_english-word-pool.mp3
English (General American),Monophthongs,phoneme,e,bread,american_english-phoneme-e.mp3
English (General American),Monophthongs,word,,bread,american_english-word-bread.mp3
English (General American),Monophthongs,phoneme,ɛ,bet,american_english-phoneme-eh.mp3
English (General American),Monophthongs,word,,bet,american_english-word-bet.mp3
English (General American),Monophthongs,phoneme,ə,about,american_english-phoneme-schwa.mp3
English (General American),Monophthongs,word,,about,american_english-word-about.mp3
English (General American),Monophthongs,phoneme,ʌ,cup,american_english-phoneme-Lambda.mp3
English (General American),Monophthongs,word,,cup,american_english-word-cup.mp3
English (General American),Monophthongs,phoneme,o,boat,american_english-phoneme-o.mp3
English (General American),Monophthongs,word,,boat,american_english-word-boat.mp3
English (General American),Monophthongs,phoneme,æ,cat,american_english-phoneme-ae.mp3
English (General American),Monophthongs,word,,cat,american_english-word-cat.mp3
English (General American),Monophthongs,phoneme,ɑ,father,american_english-phoneme-.mp3
English (General American),Monophthongs,word,,father,american_english-word-father.mp3
English (General American),Monophthongs,phoneme,ɔ,caught,american_english-phoneme-oh.mp3
English (General American),Monophthongs,word,,caught,american_english-word-caught.mp3
English (General American),Monophthongs,phoneme,ɚ,bird,american_english-phoneme-er2.mp3
English (General American),Monophthongs,word,,bird,american_english-word-bird.mp3
English (General American),Diphthongs,phoneme,eɪ,late,american_english-phoneme-ei.mp3
English (General American),Diphthongs,word,,late,american_english-word-late.mp3
English (General American),Diphthongs,phoneme,aɪ,why,american_english-phoneme-ai.mp3
English (General American),Diphthongs,word,,why,american_english-word-why.mp3
English (General American),Diphthongs,phoneme,ɔɪ,toy,american_english-phoneme-oi.mp3
English (General American),Diphthongs,word,,toy,american_english-word-toy.mp3
English (General American),Diphthongs,phoneme,aʊ,how,american_english-phoneme-au.mp3
English (General American),Diphthongs,word,,how,american_english-word-how.mp3
